variable,variable_val,mean/pct,mean/pct_low,mean/pct_upp,n_unweighted,population,subset_1_val,subset_1_name,level
water_access_challenge,none_hh_access_water,0.06583427922814983,0.04942688084085435,0.0822416776154453,58,refugee,,,Household
water_access_challenge,not_allowed_to_access_water,0.028376844494892167,0.017391019014301113,0.039362669975483225,25,refugee,,,Household
water_access_challenge,water_at_the_source_isnot_clean,0.19863791146424517,0.172241360551339,0.22503446237715133,175,refugee,,,Household
water_access_challenge,water_not_accessible_due_to_discrimination_based_on_disability,0.0022701475595913734,-8.785811521227699e-4,0.005418876271305517,2,refugee,,,Household
water_access_challenge,water_not_accessible_due_to_discrimination_based_on_economic,0.0056753688989784334,7.052947944977796e-4,0.010645443003459088,5,refugee,,,Household
water_access_challenge,water_not_accessible_due_to_discrimination_based_on_idp,0.0022701475595913734,-8.785811521227717e-4,0.005418876271305518,2,refugee,,,Household
water_access_challenge,water_not_accessible_due_to_long_distance,0.06242905788876277,0.04642252846391409,0.07843558731361144,55,refugee,,,Household
water_access_challenge,water_not_accessible_due_to_long_waiting_times,0.3325766174801362,0.30140579354175806,0.3637474414185144,293,refugee,,,Household
water_access_challenge,water_not_accessible_due_to_violence,0.0022701475595913734,-8.78581152122766e-4,0.005418876271305512,2,refugee,,,Household
water_access_challenge,ws_not_producing_water,0.0170261066969353,0.008466961683965562,0.02558525170990504,15,refugee,,,Household
water_access_challenge,ws_physically_damaged,0.2213393870601589,0.19387277001011555,0.24880600411020226,195,refugee,,,Household
water_access_challenge,ws_under_maintenance,0.04767309875141884,0.03357594506146541,0.06177025244137227,42,refugee,,,Household
access_water_different_in_seasons,dk,0.0056116722783389455,6.972976734327318e-4,0.010526046883245158,5,refugee,,,Household
access_water_different_in_seasons,no,0.33333333333333337,0.3023207572932792,0.36434590937338757,297,refugee,,,Household
access_water_different_in_seasons,yes,0.6610549943883278,0.6299143558263138,0.6921956329503418,589,refugee,,,Household
quota_to_access_water,dk,0.006734006734006735,0.001353617989177068,0.012114395478836401,6,refugee,,,Household
quota_to_access_water,no,0.8260381593714927,0.8010996120986289,0.8509767066443565,736,refugee,,,Household
quota_to_access_water,yes,0.16722783389450058,0.14267726943037473,0.19177839835862642,149,refugee,,,Household
,num_jerrycan_allowed,4.651006711409396,3.3886206555715344,5.913392767247258,149,refugee,,,Household
hh_water_payment,dk,0.004489337822671156,9.130768997566482e-5,0.008887367955366647,4,refugee,,,Household
