variable,split,subset_1
operating_dispensary,all,hoh_gender
dispensary_non_functionality_reason,all,region
dispensary_non_functionality_reason,all,hh_situation
dispensary_non_functionality_reason,all,i.hh_age
dispensary_non_functionality_reason,all,hoh_gender
dispensary_services,all,region
dispensary_services,all,hh_situation
dispensary_services,all,i.hh_age
dispensary_services,all,hoh_gender
dispensary_location,all,region
dispensary_location,all,hh_situation
dispensary_location,all,i.hh_age
dispensary_location,all,hoh_gender
dispensary_located_out_of_kebele,all,region
dispensary_located_out_of_kebele,all,hh_situation
dispensary_located_out_of_kebele,all,i.hh_age
dispensary_located_out_of_kebele,all,hoh_gender
travel_time_to_dispensary,all,region
travel_time_to_dispensary,all,hh_situation
travel_time_to_dispensary,all,i.hh_age
travel_time_to_dispensary,all,hoh_gender
dispensary_owner,all,region
dispensary_owner,all,hh_situation
dispensary_owner,all,i.hh_age
dispensary_owner,all,hoh_gender
operating_mobile_clinics,all,region
operating_mobile_clinics,all,hh_situation
operating_mobile_clinics,all,i.hh_age
operating_mobile_clinics,all,hoh_gender
mobile_clinics_non_functionality_reason,all,region
mobile_clinics_non_functionality_reason,all,hh_situation
mobile_clinics_non_functionality_reason,all,i.hh_age
mobile_clinics_non_functionality_reason,all,hoh_gender
mobile_clinics_services,all,region
mobile_clinics_services,all,hh_situation
mobile_clinics_services,all,i.hh_age
mobile_clinics_services,all,hoh_gender
mobile_clinics_location,all,region
mobile_clinics_location,all,hh_situation
mobile_clinics_location,all,i.hh_age
mobile_clinics_location,all,hoh_gender
mobile_clinics_located_out_of_kebele,all,region
mobile_clinics_located_out_of_kebele,all,hh_situation
mobile_clinics_located_out_of_kebele,all,i.hh_age
mobile_clinics_located_out_of_kebele,all,hoh_gender
travel_time_to_mobile_clinics,all,region
travel_time_to_mobile_clinics,all,hh_situation
travel_time_to_mobile_clinics,all,i.hh_age
travel_time_to_mobile_clinics,all,hoh_gender
mobile_clinics_owner,all,region
mobile_clinics_owner,all,hh_situation
mobile_clinics_owner,all,i.hh_age
mobile_clinics_owner,all,hoh_gender
operating_hh_healthcare,all,region
operating_hh_healthcare,all,hh_situation
operating_hh_healthcare,all,i.hh_age
operating_hh_healthcare,all,hoh_gender
hh_healthcare_non_functionality_reason,all,region
hh_healthcare_non_functionality_reason,all,hh_situation
hh_healthcare_non_functionality_reason,all,i.hh_age
hh_healthcare_non_functionality_reason,all,hoh_gender
hh_healthcare_services,all,region
hh_healthcare_services,all,hh_situation
hh_healthcare_services,all,i.hh_age
hh_healthcare_services,all,hoh_gender
hh_healthcare_location,all,region
hh_healthcare_location,all,hh_situation
hh_healthcare_location,all,i.hh_age
hh_healthcare_location,all,hoh_gender
hh_healthcare_located_out_of_kebele,all,region
hh_healthcare_located_out_of_kebele,all,hh_situation
hh_healthcare_located_out_of_kebele,all,i.hh_age
hh_healthcare_located_out_of_kebele,all,hoh_gender
travel_time_to_hh_healthcare,all,region
travel_time_to_hh_healthcare,all,hh_situation
travel_time_to_hh_healthcare,all,i.hh_age
travel_time_to_hh_healthcare,all,hoh_gender
hh_healthcare_owner,all,region
hh_healthcare_owner,all,hh_situation
hh_healthcare_owner,all,i.hh_age
hh_healthcare_owner,all,hoh_gender
ambulance_service_accessible,all,region
ambulance_service_accessible,all,hh_situation
ambulance_service_accessible,all,i.hh_age
ambulance_service_accessible,all,hoh_gender
health_need_assistance,all,region
health_need_assistance,all,hh_situation
health_need_assistance,all,i.hh_age
health_need_assistance,all,hoh_gender
health_need_assistance_yes,all,region
health_need_assistance_yes,all,hh_situation
health_need_assistance_yes,all,i.hh_age
health_need_assistance_yes,all,hoh_gender
hh_member_healthcare_needed,all,region
hh_member_healthcare_needed,all,hh_situation
hh_member_healthcare_needed,all,i.hh_age
hh_member_healthcare_needed,all,hoh_gender
services_not_able_to_access,all,region
services_not_able_to_access,all,hh_situation
services_not_able_to_access,all,i.hh_age
services_not_able_to_access,all,hoh_gender
services_able_to_access,all,region
services_able_to_access,all,hh_situation
services_able_to_access,all,i.hh_age
services_able_to_access,all,hoh_gender
unmet_needs_reason,all,region
unmet_needs_reason,all,hh_situation
unmet_needs_reason,all,i.hh_age
unmet_needs_reason,all,hoh_gender
services_no_access_reason,all,region
services_no_access_reason,all,hh_situation
services_no_access_reason,all,i.hh_age
services_no_access_reason,all,hoh_gender
hh_healthcare_pay,all,region
hh_healthcare_pay,all,hh_situation
hh_healthcare_pay,all,i.hh_age
hh_healthcare_pay,all,hoh_gender
hh_healthcare_pay_yes,all,region
hh_healthcare_pay_yes,all,hh_situation
hh_healthcare_pay_yes,all,i.hh_age
hh_healthcare_pay_yes,all,hoh_gender
hh_payment_modality,all,region
hh_payment_modality,all,hh_situation
hh_payment_modality,all,i.hh_age
hh_payment_modality,all,hoh_gender
healthcare_payment_amount,all,region
healthcare_payment_amount,all,hh_situation
healthcare_payment_amount,all,i.hh_age
healthcare_payment_amount,all,hoh_gender
hh_beneficiary_cbhi,all,region
hh_beneficiary_cbhi,all,hh_situation
hh_beneficiary_cbhi,all,i.hh_age
hh_beneficiary_cbhi,all,hoh_gender
hh_free_health_services,all,region
hh_free_health_services,all,hh_situation
hh_free_health_services,all,i.hh_age
hh_free_health_services,all,hoh_gender
hh_free_health_services_yes,all,region
hh_free_health_services_yes,all,hh_situation
hh_free_health_services_yes,all,i.hh_age
hh_free_health_services_yes,all,hoh_gender
disability_healthcare_access_difficultiy,all,region
disability_healthcare_access_difficultiy,all,hh_situation
disability_healthcare_access_difficultiy,all,i.hh_age
disability_healthcare_access_difficultiy,all,hoh_gender
idp_healthcare_access_difficultiy,all,region
idp_healthcare_access_difficultiy,all,hh_situation
idp_healthcare_access_difficultiy,all,i.hh_age
idp_healthcare_access_difficultiy,all,hoh_gender
mental_healthcare_service,all,region
mental_healthcare_service,all,hh_situation
mental_healthcare_service,all,i.hh_age
mental_healthcare_service,all,hoh_gender
hh_healthcare_information_level,all,region
hh_healthcare_information_level,all,hh_situation
hh_healthcare_information_level,all,i.hh_age
hh_healthcare_information_level,all,hoh_gender
obtained_information_not_accurte,all,region
obtained_information_not_accurte,all,hh_situation
obtained_information_not_accurte,all,i.hh_age
obtained_information_not_accurte,all,hoh_gender
hh_means_to_receive_healthcare_information,all,region
hh_means_to_receive_healthcare_information,all,hh_situation
hh_means_to_receive_healthcare_information,all,i.hh_age
hh_means_to_receive_healthcare_information,all,hoh_gender
receive_healthcare_information,all,region
receive_healthcare_information,all,hh_situation
receive_healthcare_information,all,i.hh_age
receive_healthcare_information,all,hoh_gender
healthcare_improvement_needed,all,region
healthcare_improvement_needed,all,hh_situation
healthcare_improvement_needed,all,i.hh_age
healthcare_improvement_needed,all,hoh_gender
healthcare_improvement_needed2,all,region
healthcare_improvement_needed2,all,hh_situation
healthcare_improvement_needed2,all,i.hh_age
healthcare_improvement_needed2,all,hoh_gender
healthcare_improvement_needed3,all,region
healthcare_improvement_needed3,all,hh_situation
healthcare_improvement_needed3,all,i.hh_age
healthcare_improvement_needed3,all,hoh_gender
hh_required_nutrition_services,all,region
hh_required_nutrition_services,all,hh_situation
hh_required_nutrition_services,all,i.hh_age
hh_required_nutrition_services,all,hoh_gender
hh_required_nutrition_services_yes,all,region
hh_required_nutrition_services_yes,all,hh_situation
hh_required_nutrition_services_yes,all,i.hh_age
hh_required_nutrition_services_yes,all,hoh_gender
