uuid,start_date,enumerator_id,region,type,name,current_value,value,issue_id,issue,other_text,checked_by,checked_date,comment,reviewed,adjust_log,so_sm_choices,sheet,index
b1ce115e-a295-49ce-8867-2c95ce4dfa7c,2024-04-21T00:00:00Z,enum_21,ET05,remove_survey,,,,more_survey_time,342 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
728aa12e-72b2-4004-bf8f-6b25d4474482,2024-04-21T00:00:00Z,enum_21,ET05,remove_survey,,,,more_survey_time,327 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
bba4b024-4ea6-4024-bfa9-52cf43f820fc,2024-04-21T00:00:00Z,enum_08,ET05,remove_survey,,,,more_survey_time,134 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
3693c8e4-62dc-4dc3-87f5-bb05f56faf6c,2024-04-21T00:00:00Z,enum_12,ET05,remove_survey,,,,more_survey_time,557 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
f35dd1b0-644e-4361-bf39-60aa03165561,2024-04-21T00:00:00Z,enum_08,ET05,remove_survey,,,,more_survey_time,473 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
c93f226d-64b6-426e-8f6f-4126967483f6,2024-04-21T00:00:00Z,enum_28,ET05,remove_survey,,,,more_survey_time,340 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
6aa21ef3-9ddc-492a-96f1-75dcb34cef20,2024-04-21T00:00:00Z,enum_12,ET05,remove_survey,,,,more_survey_time,524 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
f74e72bf-60b8-4e22-98ef-1c96272f5600,2024-04-21T00:00:00Z,enum_12,ET05,remove_survey,,,,more_survey_time,474 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
42314b87-3011-4ce2-81f3-26d83947218a,2024-04-21T00:00:00Z,enum_12,ET05,remove_survey,,,,more_survey_time,467 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
990c5fca-ccba-4e4d-81a9-5554187240eb,2024-04-21T00:00:00Z,enum_12,ET05,remove_survey,,,,more_survey_time,404 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
b169ef33-c0fc-40bb-b0b9-83e43ac5088e,2024-04-21T00:00:00Z,enum_12,ET05,remove_survey,,,,more_survey_time,351 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
781a726d-266e-4a07-ad32-222b27662860,2024-04-21T00:00:00Z,enum_12,ET05,remove_survey,,,,more_survey_time,379 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
cf8dd456-4287-49d2-82f1-c2d12d6eba61,2024-04-21T00:00:00Z,enum_18,ET05,remove_survey,,,,more_survey_time,706 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
75c73ba9-93f5-4cc5-9d90-5ec49eb1ff98,2024-04-21T00:00:00Z,enum_18,ET05,remove_survey,,,,more_survey_time,719 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
