Question,variable,choices/options,Results(mean/percentage),n_unweighted,population,subset_1_name,subset_1_val,select_type,level
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_within_woreda,0,0,refugee,hh_situation,returnee,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_outside_woreda,0,0,refugee,hh_situation,hh_host_idp,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_outside_woreda,0,0,refugee,hh_situation,hh_host_returnee,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_outside_woreda,0,2,refugee,hh_situation,host,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_outside_woreda,0,0,refugee,hh_situation,idp,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_outside_woreda,0,0,refugee,hh_situation,none,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/from_other_source_outside_woreda,0,0,refugee,hh_situation,returnee,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/na_waterpoint_is_always_working,0.25,1,refugee,hh_situation,hh_host_idp,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/na_waterpoint_is_always_working,0,0,refugee,hh_situation,hh_host_returnee,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/na_waterpoint_is_always_working,0.07,56,refugee,hh_situation,host,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/na_waterpoint_is_always_working,0.04,4,refugee,hh_situation,idp,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/na_waterpoint_is_always_working,1,1,refugee,hh_situation,none,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/na_waterpoint_is_always_working,0,0,refugee,hh_situation,returnee,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/other,0,0,refugee,hh_situation,hh_host_idp,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/other,0,0,refugee,hh_situation,hh_host_returnee,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/other,0,1,refugee,hh_situation,host,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/other,0,0,refugee,hh_situation,idp,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/other,0,0,refugee,hh_situation,none,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/other,0,0,refugee,hh_situation,returnee,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dwta,0,0,refugee,hh_situation,hh_host_idp,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dwta,0,0,refugee,hh_situation,hh_host_returnee,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dwta,0.01,6,refugee,hh_situation,host,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dwta,0,0,refugee,hh_situation,idp,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dwta,0,0,refugee,hh_situation,none,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dwta,0,0,refugee,hh_situation,returnee,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dk,0,0,refugee,hh_situation,hh_host_idp,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dk,0,0,refugee,hh_situation,hh_host_returnee,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dk,0,1,refugee,hh_situation,host,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dk,0,0,refugee,hh_situation,idp,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dk,0,0,refugee,hh_situation,none,select_multiple,Household
"When the waterpoint is broken or not functioning, where do you and your household get your water from?",ws_when_waterpoint_broken,ws_when_waterpoint_broken/dk,0,0,refugee,hh_situation,returnee,select_multiple,Household
In which region does the interview take place?,region,Somali,0.34,134,refugee,hoh_gender,female,select_one,Household
In which region does the interview take place?,region,Tigray,0.66,255,refugee,hoh_gender,female,select_one,Household
In which region does the interview take place?,region,Somali,0.15,49,refugee,hoh_gender,male,select_one,Household
In which region does the interview take place?,region,Tigray,0.85,281,refugee,hoh_gender,male,select_one,Household
In which region does the interview take place?,region,Somali,0.12,19,refugee,hoh_gender,,select_one,Household
In which region does the interview take place?,region,Tigray,0.88,142,refugee,hoh_gender,,select_one,Household
In which zone does the interview take place?,zone,ET0102,0.65,254,refugee,hoh_gender,female,select_one,Household
In which zone does the interview take place?,zone,ET0105,0,1,refugee,hoh_gender,female,select_one,Household
In which zone does the interview take place?,zone,ET0506,0.34,134,refugee,hoh_gender,female,select_one,Household
In which zone does the interview take place?,zone,ET0102,0.85,280,refugee,hoh_gender,male,select_one,Household
In which zone does the interview take place?,zone,ET0105,0,1,refugee,hoh_gender,male,select_one,Household
In which zone does the interview take place?,zone,ET0506,0.15,49,refugee,hoh_gender,male,select_one,Household
In which zone does the interview take place?,zone,ET0102,0.88,142,refugee,hoh_gender,,select_one,Household
In which zone does the interview take place?,zone,ET0506,0.12,19,refugee,hoh_gender,,select_one,Household
In which woreda does the interview take place?,woreda,ET010207,0.04,14,refugee,hoh_gender,female,select_one,Household
In which woreda does the interview take place?,woreda,ET010209,0.62,240,refugee,hoh_gender,female,select_one,Household
In which woreda does the interview take place?,woreda,ET010504,0,1,refugee,hoh_gender,female,select_one,Household
In which woreda does the interview take place?,woreda,ET050608,0.34,134,refugee,hoh_gender,female,select_one,Household
In which woreda does the interview take place?,woreda,ET010207,0.07,22,refugee,hoh_gender,male,select_one,Household
In which woreda does the interview take place?,woreda,ET010209,0.78,258,refugee,hoh_gender,male,select_one,Household
In which woreda does the interview take place?,woreda,ET010501,0,1,refugee,hoh_gender,male,select_one,Household
In which woreda does the interview take place?,woreda,ET050608,0.15,49,refugee,hoh_gender,male,select_one,Household
In which woreda does the interview take place?,woreda,ET010207,0.08,13,refugee,hoh_gender,,select_one,Household
In which woreda does the interview take place?,woreda,ET010209,0.8,129,refugee,hoh_gender,,select_one,Household
In which woreda does the interview take place?,woreda,ET050608,0.12,19,refugee,hoh_gender,,select_one,Household
Are you the head of the household?,hoh,yes,1,397,refugee,hoh_gender,female,select_one,Household
Are you the head of the household?,hoh,yes,1,333,refugee,hoh_gender,male,select_one,Household
Are you the head of the household?,hoh,no,1,161,refugee,hoh_gender,,select_one,Household
What is the age of the respondent?,hh_age,hh_age,41.59,397,refugee,hoh_gender,female,integer,Household
What is the age of the respondent?,hh_age,hh_age,45.9,333,refugee,hoh_gender,male,integer,Household
What is the age of the household head?,hoh_no,hoh_no,47,161,refugee,hoh_gender,,integer,Household
What is the gender of the household head?,hoh_no_gender,female,0.09,15,refugee,hoh_gender,,select_one,Household
What is the gender of the household head?,hoh_no_gender,male,0.91,146,refugee,hoh_gender,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,divorced,0.14,57,refugee,hoh_gender,female,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,married,0.45,180,refugee,hoh_gender,female,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,separated,0.08,33,refugee,hoh_gender,female,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,single,0.12,46,refugee,hoh_gender,female,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,widowed,0.2,81,refugee,hoh_gender,female,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,divorced,0.02,7,refugee,hoh_gender,male,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,married,0.91,303,refugee,hoh_gender,male,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,separated,0.01,3,refugee,hoh_gender,male,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,single,0.05,15,refugee,hoh_gender,male,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,widowed,0.02,5,refugee,hoh_gender,male,select_one,Household
What is the marital status of the household head?,hoh_marital_status,divorced,0.01,1,refugee,hoh_gender,,select_one,Household
What is the marital status of the household head?,hoh_marital_status,married,0.98,157,refugee,hoh_gender,,select_one,Household
What is the marital status of the household head?,hoh_marital_status,single,0.01,2,refugee,hoh_gender,,select_one,Household
What is the marital status of the household head?,hoh_marital_status,widowed,0.01,1,refugee,hoh_gender,,select_one,Household
Do you have any formal education?,hh_education,dwta,0,1,refugee,hoh_gender,female,select_one,Household
Do you have any formal education?,hh_education,no,0.67,267,refugee,hoh_gender,female,select_one,Household
Do you have any formal education?,hh_education,yes,0.32,129,refugee,hoh_gender,female,select_one,Household
Do you have any formal education?,hh_education,no,0.48,159,refugee,hoh_gender,male,select_one,Household
Do you have any formal education?,hh_education,yes,0.52,174,refugee,hoh_gender,male,select_one,Household
What is your occupation?,hh_occupation,farmer,0.43,169,refugee,hoh_gender,female,select_one,Household
What is your occupation?,hh_occupation,govt_worker,0.02,7,refugee,hoh_gender,female,select_one,Household
What is your occupation?,hh_occupation,labourer,0.15,58,refugee,hoh_gender,female,select_one,Household
What is your occupation?,hh_occupation,no_occupation,0.33,130,refugee,hoh_gender,female,select_one,Household
What is your occupation?,hh_occupation,private_business,0,1,refugee,hoh_gender,female,select_one,Household
What is your occupation?,hh_occupation,small_shop,0.07,26,refugee,hoh_gender,female,select_one,Household
What is your occupation?,hh_occupation,teacher,0.01,3,refugee,hoh_gender,female,select_one,Household
What is your occupation?,hh_occupation,trader,0,1,refugee,hoh_gender,female,select_one,Household
What is your occupation?,hh_occupation,farmer,0.61,201,refugee,hoh_gender,male,select_one,Household
What is your occupation?,hh_occupation,govt_worker,0.02,6,refugee,hoh_gender,male,select_one,Household
What is your occupation?,hh_occupation,labourer,0.15,51,refugee,hoh_gender,male,select_one,Household
What is your occupation?,hh_occupation,no_occupation,0.14,45,refugee,hoh_gender,male,select_one,Household
What is your occupation?,hh_occupation,religious_leader,0.02,5,refugee,hoh_gender,male,select_one,Household
What is your occupation?,hh_occupation,small_shop,0.05,16,refugee,hoh_gender,male,select_one,Household
What is your occupation?,hh_occupation,teacher,0.02,7,refugee,hoh_gender,male,select_one,Household
What is your occupation?,hh_occupation,trader,0,1,refugee,hoh_gender,male,select_one,Household
What is your occupation?,hh_occupation,farmer,0.53,86,refugee,hoh_gender,,select_one,Household
What is your occupation?,hh_occupation,govt_worker,0.01,1,refugee,hoh_gender,,select_one,Household
What is your occupation?,hh_occupation,health_worker,0.01,2,refugee,hoh_gender,,select_one,Household
What is your occupation?,hh_occupation,labourer,0.16,26,refugee,hoh_gender,,select_one,Household
What is your occupation?,hh_occupation,no_occupation,0.24,38,refugee,hoh_gender,,select_one,Household
What is your occupation?,hh_occupation,small_shop,0.04,6,refugee,hoh_gender,,select_one,Household
What is your occupation?,hh_occupation,teacher,0.01,1,refugee,hoh_gender,,select_one,Household
What is your occupation?,hh_occupation,trader,0.01,1,refugee,hoh_gender,,select_one,Household
How many people reside in this household? (including the respondent),hh_size,hh_size,3.64,397,refugee,hoh_gender,female,integer,Household
How many people reside in this household? (including the respondent),hh_size,hh_size,4.65,333,refugee,hoh_gender,male,integer,Household
How many people reside in this household? (including the respondent),hh_size,hh_size,4.99,161,refugee,hoh_gender,,integer,Household
What is the displacement status of your household?,hh_situation,hh_host_idp,0.01,3,refugee,hoh_gender,female,select_one,Household
What is the displacement status of your household?,hh_situation,hh_host_returnee,0,1,refugee,hoh_gender,female,select_one,Household
What is the displacement status of your household?,hh_situation,host,0.92,366,refugee,hoh_gender,female,select_one,Household
What is the displacement status of your household?,hh_situation,idp,0.06,24,refugee,hoh_gender,female,select_one,Household
What is the displacement status of your household?,hh_situation,returnee,0.01,3,refugee,hoh_gender,female,select_one,Household
What is the displacement status of your household?,hh_situation,hh_host_idp,0,1,refugee,hoh_gender,male,select_one,Household
What is the displacement status of your household?,hh_situation,host,0.83,276,refugee,hoh_gender,male,select_one,Household
What is the displacement status of your household?,hh_situation,idp,0.16,53,refugee,hoh_gender,male,select_one,Household
What is the displacement status of your household?,hh_situation,none,0,1,refugee,hoh_gender,male,select_one,Household
What is the displacement status of your household?,hh_situation,returnee,0.01,2,refugee,hoh_gender,male,select_one,Household
What is the displacement status of your household?,hh_situation,host,0.88,142,refugee,hoh_gender,,select_one,Household
What is the displacement status of your household?,hh_situation,idp,0.12,19,refugee,hoh_gender,,select_one,Household
What is your region of origin?,hh_region,ET01,1,24,refugee,hoh_gender,female,select_one,Household
What is your region of origin?,hh_region,ET01,1,53,refugee,hoh_gender,male,select_one,Household
What is your region of origin?,hh_region,ET01,1,19,refugee,hoh_gender,,select_one,Household
What is your zone of origin?,hh_zone,ET0102,0.17,4,refugee,hoh_gender,female,select_one,Household
What is your zone of origin?,hh_zone,ET0105,0.83,20,refugee,hoh_gender,female,select_one,Household
What is your zone of origin?,hh_zone,ET0101,0.08,4,refugee,hoh_gender,male,select_one,Household
What is your zone of origin?,hh_zone,ET0102,0.11,6,refugee,hoh_gender,male,select_one,Household
What is your zone of origin?,hh_zone,ET0104,0.02,1,refugee,hoh_gender,male,select_one,Household
What is your zone of origin?,hh_zone,ET0105,0.79,42,refugee,hoh_gender,male,select_one,Household
What is your zone of origin?,hh_zone,ET0101,0.05,1,refugee,hoh_gender,,select_one,Household
What is your zone of origin?,hh_zone,ET0105,0.95,18,refugee,hoh_gender,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010209,0.12,3,refugee,hoh_gender,female,select_one,Household
What is your woreda of origin?,hh_woreda,ET010213,0.04,1,refugee,hoh_gender,female,select_one,Household
What is your woreda of origin?,hh_woreda,ET010501,0.33,8,refugee,hoh_gender,female,select_one,Household
What is your woreda of origin?,hh_woreda,ET010504,0.29,7,refugee,hoh_gender,female,select_one,Household
What is your woreda of origin?,hh_woreda,ET010505,0.04,1,refugee,hoh_gender,female,select_one,Household
What is your woreda of origin?,hh_woreda,ET010506,0.08,2,refugee,hoh_gender,female,select_one,Household
What is your woreda of origin?,hh_woreda,ET010509,0.08,2,refugee,hoh_gender,female,select_one,Household
What is your woreda of origin?,hh_woreda,ET010101,0.02,1,refugee,hoh_gender,male,select_one,Household
What is your woreda of origin?,hh_woreda,ET010102,0.02,1,refugee,hoh_gender,male,select_one,Household
What is your woreda of origin?,hh_woreda,ET010106,0.02,1,refugee,hoh_gender,male,select_one,Household
What is your woreda of origin?,hh_woreda,ET010107,0.02,1,refugee,hoh_gender,male,select_one,Household
What is your woreda of origin?,hh_woreda,ET010209,0.11,6,refugee,hoh_gender,male,select_one,Household
What is your woreda of origin?,hh_woreda,ET010407,0.02,1,refugee,hoh_gender,male,select_one,Household
What is your woreda of origin?,hh_woreda,ET010501,0.42,22,refugee,hoh_gender,male,select_one,Household
What is your woreda of origin?,hh_woreda,ET010504,0.21,11,refugee,hoh_gender,male,select_one,Household
What is your woreda of origin?,hh_woreda,ET010505,0.08,4,refugee,hoh_gender,male,select_one,Household
What is your woreda of origin?,hh_woreda,ET010506,0.04,2,refugee,hoh_gender,male,select_one,Household
What is your woreda of origin?,hh_woreda,ET010507,0.02,1,refugee,hoh_gender,male,select_one,Household
What is your woreda of origin?,hh_woreda,ET010509,0.04,2,refugee,hoh_gender,male,select_one,Household
What is your woreda of origin?,hh_woreda,ET010107,0.05,1,refugee,hoh_gender,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010501,0.53,10,refugee,hoh_gender,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010504,0.11,2,refugee,hoh_gender,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010505,0.16,3,refugee,hoh_gender,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010506,0.11,2,refugee,hoh_gender,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010509,0.05,1,refugee,hoh_gender,,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,dwta,0.03,1,refugee,hoh_gender,female,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,economic_opportunities,0.07,2,refugee,hoh_gender,female,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,presence_of_family,0.8,24,refugee,hoh_gender,female,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,security,0.1,3,refugee,hoh_gender,female,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,economic_opportunities,0.02,1,refugee,hoh_gender,male,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,presence_of_family,0.88,50,refugee,hoh_gender,male,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,security,0.11,6,refugee,hoh_gender,male,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,presence_of_family,0.84,16,refugee,hoh_gender,,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,security,0.16,3,refugee,hoh_gender,,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,no,0.42,10,refugee,hoh_gender,female,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,unable_to_confirm,0.21,5,refugee,hoh_gender,female,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,yes,0.38,9,refugee,hoh_gender,female,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,no,0.43,23,refugee,hoh_gender,male,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,unable_to_confirm,0.26,14,refugee,hoh_gender,male,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,yes,0.3,16,refugee,hoh_gender,male,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,no,0.63,12,refugee,hoh_gender,,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,unable_to_confirm,0.16,3,refugee,hoh_gender,,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,yes,0.21,4,refugee,hoh_gender,,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_kebele,0.22,2,refugee,hoh_gender,female,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_woreda,0.11,1,refugee,hoh_gender,female,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_zone,0.33,3,refugee,hoh_gender,female,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,place_of_origin,0.33,3,refugee,hoh_gender,female,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_kebele,0.06,1,refugee,hoh_gender,male,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_woreda,0.25,4,refugee,hoh_gender,male,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_zone,0.19,3,refugee,hoh_gender,male,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,elsewhere_in_country,0.12,2,refugee,hoh_gender,male,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,place_of_origin,0.38,6,refugee,hoh_gender,male,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_kebele,0.25,1,refugee,hoh_gender,,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,place_of_origin,0.75,3,refugee,hoh_gender,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,education_reason,0.11,1,refugee,hoh_gender,female,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,employement,0.56,5,refugee,hoh_gender,female,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,household_has_land_there,0.11,1,refugee,hoh_gender,female,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,lack_of_food_in_current_location,0.11,1,refugee,hoh_gender,female,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,reasons_reason,0.11,1,refugee,hoh_gender,female,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,cost_of_living,0.06,1,refugee,hoh_gender,male,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,employement,0.62,10,refugee,hoh_gender,male,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,household_has_land_there,0.12,2,refugee,hoh_gender,male,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,lack_of_food_in_current_location,0.06,1,refugee,hoh_gender,male,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,proximity_to_place_of_origin,0.12,2,refugee,hoh_gender,male,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,employement,0.25,1,refugee,hoh_gender,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,household_has_land_there,0.25,1,refugee,hoh_gender,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,lack_of_food_in_current_location,0.25,1,refugee,hoh_gender,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,reasons_reason,0.25,1,refugee,hoh_gender,,select_one,Household
Are any of the female household members current pregnant or lactating?,pregnant_lac_women,no,0.73,232,refugee,hoh_gender,female,select_one,Household
Are any of the female household members current pregnant or lactating?,pregnant_lac_women,yes,0.28,88,refugee,hoh_gender,female,select_one,Household
Are any of the female household members current pregnant or lactating?,pregnant_lac_women,no,0.52,146,refugee,hoh_gender,male,select_one,Household
Are any of the female household members current pregnant or lactating?,pregnant_lac_women,yes,0.48,134,refugee,hoh_gender,male,select_one,Household
Are any of the female household members current pregnant or lactating?,pregnant_lac_women,no,0.46,61,refugee,hoh_gender,,select_one,Household
Are any of the female household members current pregnant or lactating?,pregnant_lac_women,yes,0.54,73,refugee,hoh_gender,,select_one,Household
"If yes, how many pregnant/ lactacting women?",pregnant_lac_women_yes,pregnant_lac_women_yes,1.01,88,refugee,hoh_gender,female,integer,Household
"If yes, how many pregnant/ lactacting women?",pregnant_lac_women_yes,pregnant_lac_women_yes,0.99,134,refugee,hoh_gender,male,integer,Household
"If yes, how many pregnant/ lactacting women?",pregnant_lac_women_yes,pregnant_lac_women_yes,1,73,refugee,hoh_gender,,integer,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,a_lot_of_difficulty,0.07,26,refugee,hoh_gender,female,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,cannot_do_at_all,0.01,4,refugee,hoh_gender,female,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,no_difficulty,0.81,323,refugee,hoh_gender,female,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,some_difficulty,0.11,44,refugee,hoh_gender,female,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,a_lot_of_difficulty,0.06,19,refugee,hoh_gender,male,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,cannot_do_at_all,0,1,refugee,hoh_gender,male,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,no_difficulty,0.83,278,refugee,hoh_gender,male,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,some_difficulty,0.11,35,refugee,hoh_gender,male,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,a_lot_of_difficulty,0.06,9,refugee,hoh_gender,,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,cannot_do_at_all,0.01,1,refugee,hoh_gender,,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,no_difficulty,0.83,133,refugee,hoh_gender,,select_one,Household
"Do any members of your household have difficulty seeing, even if wearing glasses?",difficulty_seeing,some_difficulty,0.11,18,refugee,hoh_gender,,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,a_lot_of_difficulty,0.03,12,refugee,hoh_gender,female,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,cannot_do_at_all,0,1,refugee,hoh_gender,female,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,no_difficulty,0.89,355,refugee,hoh_gender,female,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,some_difficulty,0.07,29,refugee,hoh_gender,female,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,a_lot_of_difficulty,0.02,8,refugee,hoh_gender,male,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,cannot_do_at_all,0.01,2,refugee,hoh_gender,male,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,no_difficulty,0.88,292,refugee,hoh_gender,male,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,some_difficulty,0.09,31,refugee,hoh_gender,male,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,a_lot_of_difficulty,0.05,8,refugee,hoh_gender,,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,cannot_do_at_all,0.01,2,refugee,hoh_gender,,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,no_difficulty,0.88,141,refugee,hoh_gender,,select_one,Household
"Do any members of your houshold have difficulty hearing, even if using a hearing aid(s)?",difficulty_hearing,some_difficulty,0.06,10,refugee,hoh_gender,,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,a_lot_of_difficulty,0.06,24,refugee,hoh_gender,female,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,cannot_do_at_all,0.01,4,refugee,hoh_gender,female,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,no_difficulty,0.83,331,refugee,hoh_gender,female,select_one,Household
Do any members of your houshold have difficulty walking or climbing steps?,difficulty_walking,some_difficulty,0.1,38,refugee,hoh_gender,female,select_one,Household
